Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Border Patrol Agent,Chad Edward McBroom,COVID19,"Sunday, August 29, 2021",2021,August,Sunday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Deputy Sheriff,Clint Robin Seagle,COVID19,"Sunday, August 29, 2021",2021,August,Sunday,"Clay County Sheriff's Office, FL",Florida,0
Patrol Officer,"Edgar Buddy Pales, Jr",COVID19,"Sunday, August 29, 2021",2021,August,Sunday,"Owasso Police Department, OK",Oklahoma,0
Sergeant,Eric Joseph Scherr,COVID19,"Monday, August 30, 2021",2021,August,Monday,"Aurora Police Department, CO",Colorado,0
Deportation Officer,Miguel Angel Ortiz,COVID19,"Monday, August 30, 2021",2021,August,Monday,"United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US",United States,0
Captain,Michael Jere Stokes,COVID19,"Monday, August 30, 2021",2021,August,Monday,"Houston County Sheriff's Office, GA",Georgia,0
Correctional Sergeant III,Ledell Graham,COVID19,"Monday, August 30, 2021",2021,August,Monday,"North Carolina Department of Public Safety - Division of Adult Correction and Juvenile Justice, NC",North Carolina,0
Public Safety Officer,Dustin Michael Beasley,COVID19,"Monday, August 30, 2021",2021,August,Monday,"North Augusta Department of Public Safety, SC",South Carolina,0
Deputy First Class,William Nelson Diaz,COVID19,"Tuesday, August 31, 2021",2021,August,Tuesday,"Lee County Sheriff's Office, FL",Florida,0
Police Officer,Freddie Joe Castro,COVID19,"Tuesday, August 31, 2021",2021,August,Tuesday,"Overland Park Police Department, KS",Kansas,0
Police Officer,Trey Copeland,Heart attack,"Tuesday, August 31, 2021",2021,August,Tuesday,"Cotton Valley Police Department, LA",Louisiana,0
Deputy Sheriff,Carlos David Ortiz,COVID19,"Tuesday, August 31, 2021",2021,August,Tuesday,"Colorado County Sheriff's Office, TX",Texas,0
Laundry Manager III,Lakeisha Monique Brantley,COVID19,"Tuesday, August 31, 2021",2021,August,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Lieutenant,Robert Lloyd Travelstead,COVID19,"Wednesday, September 1, 2021",2021,September,Wednesday,"Sonoma County Sheriff's Office, CA",California,0
Sergeant,Daniel Eugene Watts,COVID19,"Wednesday, September 1, 2021",2021,September,Wednesday,"Jacksonville Beach Police Department, FL",Florida,0
Police Officer,Gregory Randall Young,COVID19,"Wednesday, September 1, 2021",2021,September,Wednesday,"Vernon College Police Department , TX",Texas,0
Lieutenant,Jonathan Andre Terrazas,COVID19,"Wednesday, September 1, 2021",2021,September,Wednesday,"El Paso Police Department, TX",Texas,0
Sergeant,Brian Erik Mohl,Weather/Natural disaster,"Thursday, September 2, 2021",2021,September,Thursday,"Connecticut State Police, CT",Connecticut,0
Senior Officer,David Bryant Saavedra,COVID19,"Thursday, September 2, 2021",2021,September,Thursday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Corrections Officer,William Jackson Prevatt,COVID19,"Thursday, September 2, 2021",2021,September,Thursday,"Sumter County Sheriff's Office, FL",Florida,0
Sergeant,William Jeffery Yancey,COVID19,"Thursday, September 2, 2021",2021,September,Thursday,"Lake City Police Department, GA",Georgia,0
Police Officer,Frankie Anibal Gutierrez,COVID19,"Thursday, September 2, 2021",2021,September,Thursday,"Newnan Police Department, GA",Georgia,0
City Marshal,Michael Allen Keathley,COVID19,"Thursday, September 2, 2021",2021,September,Thursday,"West Police Department, TX",Texas,0
Investigator,Richard Wendell Humphrey,COVID19,"Friday, September 3, 2021",2021,September,Friday,"Baldwin County District Attorney's Office, AL",Alabama,0
Deputy Sheriff,Jody Jerome Smith,COVID19,"Friday, September 3, 2021",2021,September,Friday,"Carroll County Sheriff's Office, GA",Georgia,0
Detective Sergeant,Derek E. Sidwell,COVID19,"Friday, September 3, 2021",2021,September,Friday,"Overton County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,Ronald Rudy Butler,COVID19,"Friday, September 3, 2021",2021,September,Friday,"Bexar County Sheriff's Office, TX",Texas,0
Corrections Officer IV,Honorato Antones,COVID19,"Friday, September 3, 2021",2021,September,Friday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Detective,Tommy Gail Breedlove,COVID19,"Saturday, September 4, 2021",2021,September,Saturday,"Hernando County Sheriff's Office, FL",Florida,0
Detention Officer,Tara Leanne Cook,COVID19,"Saturday, September 4, 2021",2021,September,Saturday,"Whitfield County Sheriff's Office, GA",Georgia,0
Police Officer,"Edgar Albert Morris, III",COVID19,"Saturday, September 4, 2021",2021,September,Saturday,"Collierville Police Department, TN",Tennessee,0
Sergeant,Matthew Chandler Moore,COVID19,"Sunday, September 5, 2021",2021,September,Sunday,"Arkansas Highway Police, AR",Arkansas,0
Deputy Sheriff,Michael David Neau,COVID19,"Sunday, September 5, 2021",2021,September,Sunday,"Okaloosa County Sheriff's Office, FL",Florida,0
Police Officer,Robert Troy Joiner,COVID19,"Sunday, September 5, 2021",2021,September,Sunday,"Ector County Independent School District Police Department, TX",Texas,0
Parole Officer II,"Huey P. Prymus, III",COVID19,"Sunday, September 5, 2021",2021,September,Sunday,"Texas Department of Criminal Justice - Parole Division, TX",Texas,0
Sheriff,Robert C. Ynclan,COVID19,"Sunday, September 5, 2021",2021,September,Sunday,"Gonzales County Sheriff's Office, TX",Texas,0
Officer,Joseph Edward Boberg,COVID19,"Tuesday, September 7, 2021",2021,September,Tuesday,"California Highway Patrol, CA",California,0
Corrections Officer V,"Glenn R. Skeens, Jr.",COVID19,"Tuesday, September 7, 2021",2021,September,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corrections Deputy II,Rodrigo Delgado,COVID19,"Wednesday, September 8, 2021",2021,September,Wednesday,"San Diego County Probation Department, CA",California,0
Correctional Officer,Jonathan Howard Tosh,COVID19,"Wednesday, September 8, 2021",2021,September,Wednesday,"Kentucky Department of Corrections, KY",Kentucky,0
Investigator,Dusty L. Wainscott,Heart attack,"Wednesday, September 8, 2021",2021,September,Wednesday,"Grayson County Sheriff's Office, TX",Texas,0
Senior Trooper,Jason Lynn Vice,COVID19,"Thursday, September 9, 2021",2021,September,Thursday,"Alabama Law Enforcement Agency, AL",Alabama,0
Correctional Officer II,Yashica Anderson Stephen,COVID19,"Thursday, September 9, 2021",2021,September,Thursday,"Georgia Department of Corrections, GA",Georgia,0
Corrections Employee,Codie Whitley-Turner,COVID19,"Thursday, September 9, 2021",2021,September,Thursday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Police Officer,Bonnie Nicole Jones,COVID19,"Thursday, September 9, 2021",2021,September,Thursday,"Danville Police Department, VA",Virginia,0
Detention Officer,Kendall Leroy Thomas,COVID19,"Friday, September 10, 2021",2021,September,Friday,"Maricopa County Sheriff's Office, AZ",Arizona,0
Officer,Scott Edward Merritt,COVID19,"Friday, September 10, 2021",2021,September,Friday,"California Highway Patrol, CA",California,0
Correctional Lieutenant,Michael McKinnie,COVID19,"Friday, September 10, 2021",2021,September,Friday,"Georgia Department of Corrections, GA",Georgia,0
Corrections Officer,Richard Longoria,COVID19,"Friday, September 10, 2021",2021,September,Friday,"Louisville Metro Department of Corrections, KY",Kentucky,0
Police Officer,Clifford Dean Crouch,COVID19,"Saturday, September 11, 2021",2021,September,Saturday,"Tallahassee Police Department, FL",Florida,0
Police Officer,David A. Horton,COVID19,"Saturday, September 11, 2021",2021,September,Saturday,"Darien Police Department, GA",Georgia,0
Deputy Sheriff,Darrell Lamar Henderson,COVID19,"Saturday, September 11, 2021",2021,September,Saturday,"Shiawassee County Sheriff's Office, MI",Michigan,0
Sergeant,Gino Caputo,COVID19,"Saturday, September 11, 2021",2021,September,Saturday,"Barrington Police Department , RI",Rhode Island,0
Detective,Charles C. Vroom,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Nassau County Police Department, NY",New York,0
Deputy Sheriff,Robert Craig Mills,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Butler County Sheriff's Office, OH",Ohio,0
Police Officer,Stephen Jones,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Barnwell Police Department, SC",South Carolina,0
Deputy Sheriff,Joshua Caine Hayes,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Gibson County Sheriff's Office, TN",Tennessee,0
Special Agent,Dustin Lee Slovacek,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Texas Department of Public Safety - Criminal Investigations Division, TX",Texas,0
Corrections Officer III,Echo Rodriguez,COVID19,"Sunday, September 12, 2021",2021,September,Sunday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Lieutenant,Danny James Guynes,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Monroe County Sheriff's Office, AR",Arkansas,0
Sergeant,Bobby Williams,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Muscogee County Sheriff's Office, GA",Georgia,0
Correctional Officer II,Kimberly Montresa Barnes,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Georgia Department of Corrections, GA",Georgia,0
Police Officer,"Noah Ryan LeBlanc, Sr.",COVID19,"Monday, September 13, 2021",2021,September,Monday,"Laguna Vista Police Department, TX",Texas,0
Sergeant,Shad Eugene Hammond,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corrections Officer V,Jose Angel Hernandez,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Fire Marshal,Roland Asebedo,COVID19,"Monday, September 13, 2021",2021,September,Monday,"Denton County Fire Marshal's Office, TX",Texas,0
Deportation Officer,Roberto Carlos Cantu,COVID19,"Monday, September 13, 2021",2021,September,Monday,"United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US",United States,0
Deputy Sheriff,Willie Earl Hall,COVID19,"Tuesday, September 14, 2021",2021,September,Tuesday,"Jefferson County Sheriff's Office, AL",Alabama,0
Police Officer,Christopher Ryan Cockburn,COVID19,"Tuesday, September 14, 2021",2021,September,Tuesday,"Village of Florida Police Department, NY",New York,0
Officer,Blaize Alyxander Madrid-Evans,Gunfire,"Wednesday, September 15, 2021",2021,September,Wednesday,"Independence Police Department, MO",Missouri,0
Probation / Parole Officer II,Julie Ann Harper,COVID19,"Wednesday, September 15, 2021",2021,September,Wednesday,"North Carolina Department of Public Safety - Division of Community Corrections, NC",North Carolina,0
Corrections Officer V,"Christopher Damon Watson, Sr.",COVID19,"Wednesday, September 15, 2021",2021,September,Wednesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Sergeant,Steven Lee Marshall,COVID19,"Thursday, September 16, 2021",2021,September,Thursday,"Chatsworth Police Department, GA",Georgia,0
Patrolman,Austin Spencer Bush,Automobile crash,"Thursday, September 16, 2021",2021,September,Thursday,"Houma Police Department, LA",Louisiana,0
Police Officer,Michelle Beth Gattey,COVID19,"Thursday, September 16, 2021",2021,September,Thursday,"Georgetown Police Department, TX",Texas,0
Lieutenant,Earnest Oldham,COVID19,"Thursday, September 16, 2021",2021,September,Thursday,"Plano Police Department, TX",Texas,0
Captain,David Edwin MacAlpine,COVID19,"Friday, September 17, 2021",2021,September,Friday,"New Hanover County Sheriff's Office, NC",North Carolina,0
Police Officer,Carl Lee Proper,COVID19,"Friday, September 17, 2021",2021,September,Friday,"Kings Mountain Police Department, NC",North Carolina,0
Lieutenant,John Stewart,Vehicle pursuit,"Friday, September 17, 2021",2021,September,Friday,"Lake City Police Department, SC",South Carolina,0
Sergeant,Richard John Frankie,COVID19,"Friday, September 17, 2021",2021,September,Friday,"Fort Bend Independent School District Police Department, TX",Texas,0
Deputy Sheriff,William Howard Gudgell,COVID19,"Friday, September 17, 2021",2021,September,Friday,"Tarrant County Sheriff's Office, TX",Texas,0
Trooper,Brian John Pingry,COVID19,"Saturday, September 18, 2021",2021,September,Saturday,"Florida Highway Patrol, FL",Florida,0
Corporal,Gregory Bernard Campbell,COVID19,"Saturday, September 18, 2021",2021,September,Saturday,"Richmond County Sheriff's Office, GA",Georgia,0
Deportation Officer,Olynthia Jermaine Turner,COVID19,"Saturday, September 18, 2021",2021,September,Saturday,"United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US",United States,0
Lieutenant,Brandi Meagan Cross-Stock,COVID19,"Sunday, September 19, 2021",2021,September,Sunday,"Brooklet Police Department, GA",Georgia,0
Deputy Sheriff,"Talmadge Leon Tucker, Jr.",COVID19,"Monday, September 20, 2021",2021,September,Monday,"Glynn County Sheriff's Office, GA",Georgia,0
Police Officer,Jimmie Alexander Shindler,COVID19,"Monday, September 20, 2021",2021,September,Monday,"Memphis Police Department, TN",Tennessee,0
Senior Police Officer,William John Jeffrey,Gunfire,"Monday, September 20, 2021",2021,September,Monday,"Houston Police Department, TX",Texas,0
Sergeant,Sherman Peebles,COVID19,"Tuesday, September 21, 2021",2021,September,Tuesday,"Muscogee County Sheriff's Office, GA",Georgia,0
Sergeant,Sean Geoffrey Byler,COVID19,"Wednesday, September 22, 2021",2021,September,Wednesday,"Bullitt County Detention Center, KY",Kentucky,0
Sergeant,David Frank Miller,COVID19,"Wednesday, September 22, 2021",2021,September,Wednesday,"Clarksville Police Department, TN",Tennessee,0
Corrections Officer V,Cleadas Gilberto Sherman,COVID19,"Wednesday, September 22, 2021",2021,September,Wednesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Police Officer,Joseph John Kurer,COVID19,"Wednesday, September 22, 2021",2021,September,Wednesday,"Fond du Lac Police Department, WI",Wisconsin,0
Border Patrol Agent,Luis Heriberto Dominguez,COVID19,"Thursday, September 23, 2021",2021,September,Thursday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Deputy Sheriff,Luke Ryan Gross,Struck by vehicle,"Thursday, September 23, 2021",2021,September,Thursday,"Hancock County Sheriff's Office, ME",Maine,0
Senior Corporal,Arnulfo Pargas,COVID19,"Thursday, September 23, 2021",2021,September,Thursday,"Dallas Police Department, TX",Texas,0
Corporal,Charles Wayne Catron,COVID19,"Thursday, September 23, 2021",2021,September,Thursday,"Carroll County Sheriff's Office, VA",Virginia,0
Senior Deputy,"Phillip David Barron, Jr.",COVID19,"Friday, September 24, 2021",2021,September,Friday,"Victoria County Sheriff's Office, TX",Texas,0
Police Officer,Anthony Christopher Testa,COVID19,"Saturday, September 25, 2021",2021,September,Saturday,"West Palm Beach Police Department, FL",Florida,0
Undersheriff,Jeffrey Mark Montoya,COVID19,"Saturday, September 25, 2021",2021,September,Saturday,"Colfax County Sheriff's Office, NM",New Mexico,0
Deputy Sheriff,Matthew Locke,Gunfire,"Saturday, September 25, 2021",2021,September,Saturday,"Hardin County Sheriff's Department, TN",Tennessee,0
Corrections Officer IV,Charles Ronald Hughes,COVID19,"Saturday, September 25, 2021",2021,September,Saturday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corrections Officer V,Connell Foreman,COVID19,"Saturday, September 25, 2021",2021,September,Saturday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Border Patrol Agent,David Blanco Ramirez,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Deputy Sheriff,Joshua Joseph Moyers,Gunfire,"Sunday, September 26, 2021",2021,September,Sunday,"Nassau County Sheriff's Office, FL",Florida,0
Corporal,Robert Wayne Nicholson,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"Clark County Sheriff's Office, IN",Indiana,0
Police Chief,Donald Hall,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"Magnolia Police Department, NC",North Carolina,0
Police Officer,Brian L. Rowland,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Police Officer,Gregory Lynn Triplett,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"Waverly Police Department, TN",Tennessee,0
Trooper,Eric Thomas Gunderson,COVID19,"Sunday, September 26, 2021",2021,September,Sunday,"Washington State Patrol, WA",Washington,0
Border Patrol Agent,Alfredo Moises Ibarra,COVID19,"Monday, September 27, 2021",2021,September,Monday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Detention Deputy,Tony Lee Bruce,COVID19,"Monday, September 27, 2021",2021,September,Monday,"Bay County Sheriff's Office, FL",Florida,0
Police Officer,Charles Ashley Smith,COVID19,"Monday, September 27, 2021",2021,September,Monday,"Cobb County School District Police Department, GA",Georgia,0
Patrol Officer,"Howard Kritzer Smith, III",COVID19,"Monday, September 27, 2021",2021,September,Monday,"Owasso Police Department, OK",Oklahoma,0
Sergeant,Joshua Wayne Stewart,COVID19,"Monday, September 27, 2021",2021,September,Monday,"Sullivan County Sheriff's Office, TN",Tennessee,0
Police Chief,Derek Scott Asdot,COVID19,"Tuesday, September 28, 2021",2021,September,Tuesday,"Green Cove Springs Police Department, FL",Florida,0
Sergeant,Michael Todd Thomas,COVID19,"Tuesday, September 28, 2021",2021,September,Tuesday,"Griffin Police Department, GA",Georgia,0
Sergeant,Matthew Logan Davis,COVID19,"Tuesday, September 28, 2021",2021,September,Tuesday,"Iron County Sheriff's Office, MO",Missouri,0
Correctional Corporal,Terrell Kenneth Jordan,COVID19,"Wednesday, September 29, 2021",2021,September,Wednesday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Correctional Officer,Thomas Alan Beard,COVID19,"Wednesday, September 29, 2021",2021,September,Wednesday,"Kentucky Department of Corrections, KY",Kentucky,0
Sergeant,Donald William Ramey,COVID19,"Wednesday, September 29, 2021",2021,September,Wednesday,"Transylvania County Sheriff's Office, NC",North Carolina,0
Deputy Sheriff,Boyd Wayne Blake,COVID19,"Wednesday, September 29, 2021",2021,September,Wednesday,"Lawrence County Sheriff's Office, OH",Ohio,0
Sergeant,Frank Rodriguez,COVID19,"Wednesday, September 29, 2021",2021,September,Wednesday,"Midwest City Police Department, OK",Oklahoma,0
Corrections Lieutenant,David W. Reynolds,COVID19,"Thursday, September 30, 2021",2021,September,Thursday,"Butler County Sheriff's Office, OH",Ohio,0
Deputy Sheriff,Teresa H. Fuller,COVID19,"Thursday, September 30, 2021",2021,September,Thursday,"Wilson County Sheriff's Office, TN",Tennessee,0
Correctional Officer,Calyne St. Val,COVID19,"Friday, October 1, 2021",2021,October,Friday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Senior Inspector,Jared McKane Keyworth,Automobile crash,"Friday, October 1, 2021",2021,October,Friday,"United States Department of Justice - United States Marshals Service, US",United States,0
Lieutenant,Matthew Eric Dow,COVID19,"Friday, October 1, 2021",2021,October,Friday,"Fayetteville Police Department, NC",North Carolina,0
Captain,James Anthony Sisk,COVID19,"Friday, October 1, 2021",2021,October,Friday,"Culpeper County Sheriff's Office, VA",Virginia,0
Sergeant,James Nicholas Nick Risner,Gunfire,"Saturday, October 2, 2021",2021,October,Saturday,"Sheffield Police Department, AL",Alabama,0
Police Officer,Darrell Dewayne Adams,Struck by vehicle,"Saturday, October 2, 2021",2021,October,Saturday,"Memphis Police Department, TN",Tennessee,0
Corrections Officer V,Melissa Ruth Maldonado,COVID19,"Sunday, October 3, 2021",2021,October,Sunday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Group Supervisor,Michael Gale Garbo,Gunfire,"Monday, October 4, 2021",2021,October,Monday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Correctional Officer,Sylvia Lavernne Allen,COVID19,"Monday, October 4, 2021",2021,October,Monday,"Miami-Dade County Department of Corrections and Rehabilitation, FL",Florida,0
Police Officer,"Julio Cesar Herrera, Jr.",COVID19,"Monday, October 4, 2021",2021,October,Monday,"Charlotte-Mecklenburg Police Department, NC",North Carolina,0
Corrections Officer,Vassar Odean Richmond,COVID19,"Monday, October 4, 2021",2021,October,Monday,"Bartlett Police Department , TN",Tennessee,0
Corrections Officer V,Thomas Scott Collora,COVID19,"Tuesday, October 5, 2021",2021,October,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Corrections Officer IV,Garland Chaney,COVID19,"Tuesday, October 5, 2021",2021,October,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Sergeant,John R. Lowry,COVID19,"Wednesday, October 6, 2021",2021,October,Wednesday,"Suffolk County Sheriff's Office, NY",New York,0
Deputy Sheriff,Dale L. Wyman,Automobile crash,"Wednesday, October 6, 2021",2021,October,Wednesday,"Hardeman County Sheriff's Office, TN",Tennessee,0
Officer,Victor Julian Donate,COVID19,"Thursday, October 7, 2021",2021,October,Thursday,"United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US",United States,0
Corporal,Timothy Michael Tanksley,COVID19,"Friday, October 8, 2021",2021,October,Friday,"Alto Police Department, GA",Georgia,0
Deputy Sheriff,John Richard King,COVID19,"Friday, October 8, 2021",2021,October,Friday,"Lyon County Sheriff's Office, NV",Nevada,0
Corporal,Dylan McCauley Harrison,Gunfire,"Saturday, October 9, 2021",2021,October,Saturday,"Alamo Police Department, GA",Georgia,0
Master Trooper,Adam Christopher Gaubert,Gunfire,"Saturday, October 9, 2021",2021,October,Saturday,"Louisiana State Police, LA",Louisiana,0
Master Deputy,William Edward Marsh,COVID19,"Sunday, October 10, 2021",2021,October,Sunday,"Rowan County Sheriff's Office, NC",North Carolina,0
Sergeant,Michael Devon Rudd,Vehicle pursuit,"Monday, October 11, 2021",2021,October,Monday,"La Paz County Sheriff's Office, AZ",Arizona,0
Deputy Sheriff,Juan Miguel Ruiz,Assault,"Monday, October 11, 2021",2021,October,Monday,"Maricopa County Sheriff's Office, AZ",Arizona,0
Detention Officer,Anthony Nicoletti,COVID19,"Monday, October 11, 2021",2021,October,Monday,"Mohave County Sheriff's Office, AZ",Arizona,0
Lieutenant,"William Oscar McMurtray, III",COVID19,"Monday, October 11, 2021",2021,October,Monday,"Burke County Sheriff's Office, NC",North Carolina,0
Correctional Officer IV,Toamalama Scanlan,Gunfire,"Tuesday, October 12, 2021",2021,October,Tuesday,"Fresno County Sheriff's Office, CA",California,0
Reserve Deputy,James Richard Hirtzel,COVID19,"Tuesday, October 12, 2021",2021,October,Tuesday,"Jackson County Sheriff's Office, IN",Indiana,0
Correctional Lieutenant II,Dennis Eugene Boykin,COVID19,"Tuesday, October 12, 2021",2021,October,Tuesday,"North Carolina Department of Public Safety - Division of Adult Correction and Juvenile Justice, NC",North Carolina,0
Deportation Officer,Bradley K. Kam,COVID19,"Tuesday, October 12, 2021",2021,October,Tuesday,"United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US",United States,0
Police Officer,Ty Alan Powell,COVID19,"Wednesday, October 13, 2021",2021,October,Wednesday,"Windsor Police Department, CO",Colorado,0
Command Sergeant,Richard Arnold McMahan,Heart attack,"Wednesday, October 13, 2021",2021,October,Wednesday,"Columbus Police Department, GA",Georgia,0
Deputy Sheriff,Oliver Little,COVID19,"Wednesday, October 13, 2021",2021,October,Wednesday,"Floyd County Sheriff's Office, KY",Kentucky,0
Police Officer,James Edward Simonetti,COVID19,"Wednesday, October 13, 2021",2021,October,Wednesday,"Carnegie Mellon University Police Department, PA",Pennsylvania,0
Sergeant,Raquel Virginia Saunders,COVID19,"Wednesday, October 13, 2021",2021,October,Wednesday,"Amarillo Police Department, TX",Texas,0
Senior Police Officer,John David Wilbanks,COVID19,"Wednesday, October 13, 2021",2021,October,Wednesday,"Houston Police Department, TX",Texas,0
Sergeant,William Warren Gay,COVID19,"Thursday, October 14, 2021",2021,October,Thursday,"Bibb County Sheriff's Office, GA",Georgia,0
Deputy Constable,Kareem Anthony Atkins,Gunfire,"Saturday, October 16, 2021",2021,October,Saturday,"Harris County Constable's Office - Precinct 4, TX",Texas,0
Detective,Rodney Lane Mooneyham,COVID19,"Saturday, October 16, 2021",2021,October,Saturday,"Denton Police Department, TX",Texas,0
Police Officer,Yandy Chirino,Gunfire,"Sunday, October 17, 2021",2021,October,Sunday,"Hollywood Police Department, FL",Florida,0
Police Officer,Ryan Andrew Hayworth,Vehicular assault,"Sunday, October 17, 2021",2021,October,Sunday,"Knightdale Police Department, NC",North Carolina,0
Police Officer,Andrew Robert MacDonald,COVID19,"Monday, October 18, 2021",2021,October,Monday,"Grand Prairie Police Department, TX",Texas,0
Investigator,Tracy Joe Dotson,COVID19,"Tuesday, October 19, 2021",2021,October,Tuesday,"Dallas County District Attorney’s Office, TX",Texas,0
Trooper,Theodore Lawrence Benda,Automobile crash,"Wednesday, October 20, 2021",2021,October,Wednesday,"Iowa State Patrol, IA",Iowa,0
Deputy Sheriff,Donald Albert Poffenroth,COVID19,"Wednesday, October 20, 2021",2021,October,Wednesday,"Pershing County Sheriff's Office, NV",Nevada,0
Sergeant,"Miguel Rodriguez, Jr.",COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement, FL",Florida,0
Deputy Sheriff,Joshua Joseph Welge,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"Sarasota County Sheriff's Office, FL",Florida,0
Police Officer,Loi Huu Ha,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"UMass Memorial Medical Center Police Department, MA",Massachusetts,0
Police Officer,Leonardo M. Chavez,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"New York City Police Department, NY",New York,0
Police Officer,"Marze Matthew Murray, Jr.",COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"New York City Police Department, NY",New York,0
Sergeant,Richard Charles Howe,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Trooper First Class,Dung Xuan Tran Martinez,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"Pennsylvania State Police, PA",Pennsylvania,0
Deputy Sheriff,Joshua James Sieman,COVID19,"Thursday, October 21, 2021",2021,October,Thursday,"Harris County Sheriff's Office, TX",Texas,0
Sergeant,Michael Shannon McDonald,COVID19,"Friday, October 22, 2021",2021,October,Friday,"Winston-Salem Police Department, NC",North Carolina,0
Detective,James R. Peri,COVID19,"Friday, October 22, 2021",2021,October,Friday,"Bloomfield Police Department, NJ",New Jersey,0
Sergeant,Michael David Dunn,COVID19,"Friday, October 22, 2021",2021,October,Friday,"Amarillo Police Department, TX",Texas,0
Police Officer,Christopher William Cummins,COVID19,"Saturday, October 23, 2021",2021,October,Saturday,"Bella Vista Police Department, AR",Arkansas,0
Corrections Officer,Joshua E. Kristek,COVID19,"Sunday, October 24, 2021",2021,October,Sunday,"Medina County Juvenile Detention Center, OH",Ohio,0
Sergeant,Brian J. Gaunt,COVID19,"Sunday, October 24, 2021",2021,October,Sunday,"Beaverton Police Department, OR",Oregon,0
Police Officer,Jason Michael Belton,COVID19,"Sunday, October 24, 2021",2021,October,Sunday,"Erie Police Department, PA",Pennsylvania,0
Supervisory Border Patrol Agent,Rafael Gilberto Sanchez,COVID19,"Sunday, October 24, 2021",2021,October,Sunday,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States,0
Police Officer,Stephen Evans,Automobile crash,"Monday, October 25, 2021",2021,October,Monday,"Burns Police Department, KS",Kansas,0
Police Officer,Tyler Nathaniel Timmins,Gunfire,"Tuesday, October 26, 2021",2021,October,Tuesday,"Pontoon Beach Police Department, IL",Illinois,0
Police Officer,Thomas Kristopher Hutchison,COVID19,"Wednesday, October 27, 2021",2021,October,Wednesday,"Haltom City Police Department, TX",Texas,0
